skupina_diagnoz;kod_hlavnej_diagnozy;nazov_diagnozy
Trauma a poúrazové stavy;t1305;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: pomliaždenie
Trauma a poúrazové stavy;t1308;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: iné
Trauma a poúrazové stavy;t131;Otvorená rana dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t132;Vykĺbenie, vyvrtnutie a natiahnutie bližšie neurčeného kĺbu a väzu dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t133;Poranenie bližšie neurčeného nervu dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t134;Poranenie bližšie neurčenej krvnej cievy dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t135;Poranenie bližšie neurčeného svalu a šľachy dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t136;Úrazová amputácia dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t138;Iné bližšie určené poranenie dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t139;Bližšie neurčené poranenie dolnej končatiny, v bližšie neurčenej úrovni
Trauma a poúrazové stavy;t1400;Povrchové poranenie: oblasť bližšie neurčená tela, druh poranenia bližšie neurčený
Trauma a poúrazové stavy;t1401;Povrchové poranenie: oblasť bližšie neurčená tela: odrenina
Trauma a poúrazové stavy;t1402;Povrchové poranenie: oblasť bližšie neurčená tela: tvorba pľuzgierov (netermických)
Trauma a poúrazové stavy;t1403;Povrchové poranenie: oblasť bližšie neurčená tela: uštipnutie hmyzom alebo vpich (nejedovatý)
Trauma a poúrazové stavy;t1404;Povrchové poranenie: oblasť bližšie neurčená tela: povrchové cudzie teleso (úlomky)
Trauma a poúrazové stavy;t1405;Povrchové poranenie: oblasť bližšie neurčená tela: pomliaždenie
Trauma a poúrazové stavy;t1408;Povrchové poranenie: oblasť bližšie neurčená tela: iné
Trauma a poúrazové stavy;t141;Otvorená rana: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t1420;Zlomenina: oblasť bližšie neurčená tela, zatvorená alebo bez bližšieho určenia
Trauma a poúrazové stavy;t1421;Zlomenina: oblasť bližšie neurčená tela, otvorená
Trauma a poúrazové stavy;t143;Vykĺbenie, vyvrtnutie a natiahnutie: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t144;Poranenie nervu (nervov): oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t145;Poranenie krvnej cievy (ciev): oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t146;Poranenie svalov a šliach: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t147;Drvivé poranenie a úrazová amputácia: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t148;Iné poranenie: oblasť bližšie neurčená tela
Trauma a poúrazové stavy;t149;Poranenie, bližšie neurčené
Trauma a poúrazové stavy;t200;Popálenina hlavy a krku bližšie neurčeného stupňa
Trauma a poúrazové stavy;t201;Popálenina hlavy a krku 1. stupňa
Trauma a poúrazové stavy;t2020;Popálenina hlavy a krku 2a. stupňa
Trauma a poúrazové stavy;t2021;Popálenina hlavy a krku 2b. stupňa
Trauma a poúrazové stavy;t203;Popálenina hlavy a krku 3. stupňa
Trauma a poúrazové stavy;t204;Poleptanie hlavy a krku bližšie neurčeného stupňa
Trauma a poúrazové stavy;t205;Poleptanie hlavy a krku 1. stupňa
Trauma a poúrazové stavy;t2060;Poleptanie hlavy a krku 2a. stupňa
Trauma a poúrazové stavy;t2061;Poleptanie hlavy a krku 2b. stupňa
Trauma a poúrazové stavy;t207;Poleptanie hlavy a krku 3. stupňa
Trauma a poúrazové stavy;t2100;Popálenina trupu bližšie neurčeného stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2101;Popálenina trupu bližšie neurčeného stupňa, prsník
Trauma a poúrazové stavy;t2102;Popálenina trupu bližšie neurčeného stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2103;Popálenina trupu bližšie neurčeného stupňa, brušná stena
Trauma a poúrazové stavy;t2104;Popálenina trupu bližšie neurčeného stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2105;Popálenina trupu bližšie neurčeného stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2109;Popálenina trupu bližšie neurčeného stupňa, iná časť
Trauma a poúrazové stavy;t2110;Popálenina trupu 1. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2111;Popálenina trupu 1. stupňa, prsník
Trauma a poúrazové stavy;t2112;Popálenina trupu 1. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2113;Popálenina trupu 1. stupňa, brušná stena
Trauma a poúrazové stavy;t2114;Popálenina trupu 1. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2115;Popálenina trupu 1. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2119;Popálenina trupu 1. stupňa, iná časť
Trauma a poúrazové stavy;t2120;Popálenina trupu 2a. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2121;Popálenina trupu 2a. stupňa, prsník
Trauma a poúrazové stavy;t2122;Popálenina trupu 2a. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2123;Popálenina trupu 2a. stupňa, brušná stena
Trauma a poúrazové stavy;t2124;Popálenina trupu 2a. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2125;Popálenina trupu 2a. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2129;Popálenina trupu 2a. stupňa, iná časť
Trauma a poúrazové stavy;t2130;Popálenina trupu 3. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2131;Popálenina trupu 3. stupňa, prsník
Trauma a poúrazové stavy;t2132;Popálenina trupu 3. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2133;Popálenina trupu 3. stupňa, brušná stena
Trauma a poúrazové stavy;t2134;Popálenina trupu 3. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2135;Popálenina trupu 3. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2139;Popálenina trupu 3. stupňa, iná časť
Trauma a poúrazové stavy;t2140;Poleptanie trupu bližšie neurčeného stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2141;Poleptanie trupu bližšie neurčeného stupňa, prsník
Trauma a poúrazové stavy;t2142;Poleptanie trupu bližšie neurčeného stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2143;Poleptanie trupu bližšie neurčeného stupňa, brušná stena
Trauma a poúrazové stavy;t2144;Poleptanie trupu bližšie neurčeného stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2145;Poleptanie trupu bližšie neurčeného stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2149;Poleptanie trupu bližšie neurčeného stupňa, iná časť
Trauma a poúrazové stavy;t2150;Poleptanie trupu 1. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2151;Poleptanie trupu 1. stupňa, prsník
Trauma a poúrazové stavy;t2152;Poleptanie trupu 1. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2153;Poleptanie trupu 1. stupňa, brušná stena
Trauma a poúrazové stavy;t2154;Poleptanie trupu 1. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2155;Poleptanie trupu 1. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2159;Poleptanie trupu 1. stupňa, iná časť
Trauma a poúrazové stavy;t2160;Poleptanie trupu 2a. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2161;Poleptanie trupu 2a. stupňa, prsník
Trauma a poúrazové stavy;t2162;Poleptanie trupu 2a. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2163;Poleptanie trupu 2a. stupňa, brušná stena
Trauma a poúrazové stavy;t2164;Poleptanie trupu 2a. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2165;Poleptanie trupu 2a. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2169;Poleptanie trupu 2a. stupňa, iná časť
Trauma a poúrazové stavy;t2170;Poleptanie trupu 3. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2171;Poleptanie trupu 3. stupňa, prsník
Trauma a poúrazové stavy;t2172;Poleptanie trupu 3. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2173;Poleptanie trupu 3. stupňa, brušná stena
Trauma a poúrazové stavy;t2174;Poleptanie trupu 3. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2175;Poleptanie trupu 3. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2179;Poleptanie trupu 3. stupňa, iná časť
Trauma a poúrazové stavy;t2180;Popálenina trupu 2b. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2181;Popálenina trupu 2b. stupňa, prsník
Trauma a poúrazové stavy;t2182;Popálenina trupu 2b. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2183;Popálenina trupu 2b. stupňa, brušná stena
Trauma a poúrazové stavy;t2184;Popálenina trupu 2b. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2185;Popálenina trupu 2b. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2189;Popálenina trupu 2b. stupňa, iná časť
Trauma a poúrazové stavy;t2190;Poleptanie trupu 2b. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2191;Poleptanie trupu 2b. stupňa, prsník
Trauma a poúrazové stavy;t2192;Poleptanie trupu 2b. stupňa, stena hrudníka s výnimkou prsníka a bradavky
Trauma a poúrazové stavy;t2193;Poleptanie trupu 2b. stupňa, brušná časť
Trauma a poúrazové stavy;t2194;Poleptanie trupu 2b. stupňa, chrbát (ktorákoľvek časť)
Trauma a poúrazové stavy;t2195;Poleptanie trupu 2b. stupňa, vonkajšie genitálie
Trauma a poúrazové stavy;t2199;Poleptanie trupu 2b. stupňa, iná časť
Trauma a poúrazové stavy;t2200;Popálenina pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2201;Popálenina pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2202;Popálenina pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2203;Popálenina pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, podpazušie
Trauma a poúrazové stavy;t2210;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2211;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2212;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2213;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, podpazušie
Trauma a poúrazové stavy;t2220;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2221;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2222;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2223;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, podpazušie
Trauma a poúrazové stavy;t2230;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2231;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2232;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2233;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, podpazušie
Trauma a poúrazové stavy;t2240;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2241;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2242;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2243;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, bližšie neurčeného stupňa, podpazušie
Trauma a poúrazové stavy;t2250;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2251;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2252;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2253;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 1. stupňa, podpazušie
Trauma a poúrazové stavy;t2260;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2261;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2262;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2263;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2a. stupňa, podpazušie
Trauma a poúrazové stavy;t2270;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2271;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2272;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2273;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 3. stupňa, podpazušie
Trauma a poúrazové stavy;t2280;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2281;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2282;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2283;Popálenina pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, podpazušie
Trauma a poúrazové stavy;t2290;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, časť bližšie neurčená
Trauma a poúrazové stavy;t2291;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, lakeť a predlaktie
Trauma a poúrazové stavy;t2292;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, horná časť ramena a oblasť pleca
Trauma a poúrazové stavy;t2293;Poleptanie pleca a hornej končatiny okrem zápästia a ruky, 2b. stupňa, podpazušie
Trauma a poúrazové stavy;t230;Popálenina zápästia a ruky bližšie neurčeného stupňa
Trauma a poúrazové stavy;t231;Popálenina zápästia a ruky 1. stupňa
Trauma a poúrazové stavy;t2320;Popálenina zápästia a ruky 2a. stupňa
Trauma a poúrazové stavy;t2321;Popálenina zápästia a ruky 2b. stupňa
Trauma a poúrazové stavy;t233;Popálenina zápästia a ruky 3. stupňa
Trauma a poúrazové stavy;t234;Poleptanie zápästia a ruky bližšie neurčeného stupňa
Trauma a poúrazové stavy;t235;Poleptanie zápästia a ruky 1. stupňa
Trauma a poúrazové stavy;t2360;Poleptanie zápästia a ruky 2a. stupňa
Trauma a poúrazové stavy;t2361;Poleptanie zápästia a ruky 2b. stupňa
Trauma a poúrazové stavy;t237;Poleptanie zápästia a ruky 3. stupňa
Trauma a poúrazové stavy;t240;Popálenina bedra a dolnej končatiny okrem členka a nohy bližšie neurčeného stupňa
Trauma a poúrazové stavy;t241;Popálenina bedra a dolnej končatiny okrem členka a nohy 1. stupňa
Trauma a poúrazové stavy;t2420;Popálenina bedra a dolnej končatiny okrem členka a nohy 2a. stupňa
Trauma a poúrazové stavy;t2421;Popálenina bedra a dolnej končatiny okrem členka a nohy 2b. stupňa
Trauma a poúrazové stavy;t243;Popálenina bedra a dolnej končatiny okrem členka a nohy 3. stupňa
Trauma a poúrazové stavy;t244;Poleptanie bedra a dolnej končatiny okrem členka a nohy bližšie neurčeného stupňa
Trauma a poúrazové stavy;t245;Poleptanie bedra a dolnej končatiny okrem členka a nohy 1. stupňa
Trauma a poúrazové stavy;t2460;Poleptanie bedra a dolnej končatiny okrem členka a nohy 2a. stupňa
Trauma a poúrazové stavy;t2461;Poleptanie bedra a dolnej končatiny okrem členka a nohy 2b. stupňa
Trauma a poúrazové stavy;t247;Poleptanie bedra a dolnej končatiny okrem členka a nohy 3. stupňa
Trauma a poúrazové stavy;t250;Popálenina členka a nohy bližšie neurčeného stupňa
Trauma a poúrazové stavy;t251;Popálenina členka a nohy 1. stupňa
Trauma a poúrazové stavy;t2520;Popálenina členka a nohy 2a. stupňa
Trauma a poúrazové stavy;t2521;Popálenina členka a nohy 2b. stupňa
Trauma a poúrazové stavy;t253;Popálenina členka a nohy 3. stupňa
Trauma a poúrazové stavy;t254;Poleptanie členka a nohy bližšie neurčeného stupňa
Trauma a poúrazové stavy;t255;Poleptanie členka a nohy 1. stupňa
Trauma a poúrazové stavy;t2560;Poleptanie členka a nohy 2a. stupňa
Trauma a poúrazové stavy;t2561;Poleptanie členka a nohy 2b. stupňa
Trauma a poúrazové stavy;t257;Poleptanie členka a nohy 3. stupňa
Trauma a poúrazové stavy;t290;Popálenina viacerých oblastí tela bližšie neurčeného stupňa
Trauma a poúrazové stavy;t291;Popálenina viacerých oblastí tela, kde sa ako najťažší uvádza 1.stupeň
Trauma a poúrazové stavy;t2920;Popálenina viacerých oblastí tela, kde sa ako najťažší uvádza 2a.stupeň
Trauma a poúrazové stavy;t2921;Popálenina viacerých oblastí tela, kde sa ako najťažší uvádza 2b. stupeň
Trauma a poúrazové stavy;t293;Popálenina viacerých oblastí tela, uvedený najmenej raz 3.stupeň
Trauma a poúrazové stavy;t294;Poleptanie viacerých častí tela bližšie neurčeného stupňa
Trauma a poúrazové stavy;t295;Poleptanie viacerých častí tela, kde sa ako najťažší uvádza 1.stupeň
Trauma a poúrazové stavy;t2960;Poleptanie viacerých častí tela, kde sa ako najťažší uvádza 2a.stupeň
Trauma a poúrazové stavy;t2961;Poleptanie viacerých častí tela, kde sa ako najťažší uvádza 2b. stupeň
Trauma a poúrazové stavy;t297;Poleptanie viacerých častí tela, uvedený najmenej raz 3.stupeň
Trauma a poúrazové stavy;t300;Popálenina: oblasť bližšie neurčená tela bližšie neurčeného stupňa
Trauma a poúrazové stavy;t301;Popálenina: oblasť bližšie neurčená tela 1. stupňa
Trauma a poúrazové stavy;t3020;Popálenina: oblasť bližšie neurčená tela 2a. stupňa
Trauma a poúrazové stavy;t3021;Popálenina: oblasť bližšie neurčená tela 2. stupňa
Trauma a poúrazové stavy;t303;Popálenina: oblasť bližšie neurčená tela 3. stupňa
Trauma a poúrazové stavy;t304;Poleptanie: oblasť bližšie neurčená tela bližšie neurčeného stupňa
Trauma a poúrazové stavy;t305;Poleptanie: oblasť bližšie neurčená tela 1. stupňa
Trauma a poúrazové stavy;t3060;Poleptanie: oblasť bližšie neurčená tela 2a. stupňa
Trauma a poúrazové stavy;t3061;Poleptanie: oblasť bližšie neurčená tela 2b. stupňa
Trauma a poúrazové stavy;t307;Poleptanie: oblasť bližšie neurčená tela 3. stupňa
Trauma a poúrazové stavy;t3100;Popáleniny postihujúce menej ako 10 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3110;Popáleniny postihujúce 10 – 19 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3111;Popáleniny postihujúce 10 – 19 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3120;Popáleniny postihujúce 20 – 29 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3121;Popáleniny postihujúce 20 – 29 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3122;Popáleniny postihujúce 20 – 29 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3130;Popáleniny postihujúce 30 – 39 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3131;Popáleniny postihujúce 30 – 39 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3132;Popáleniny postihujúce 30 – 39 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3133;Popáleniny postihujúce 30 – 39 % povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3140;Popáleniny postihujúce 40 – 49 % povrchu tela: pričom popáleniny 3. stupňa postihujú menej ako 10 % alebo bližšie neurčenú časť
Trauma a poúrazové stavy;t3141;Popáleniny postihujúce 40 – 49 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3142;Popáleniny postihujúce 40 – 49 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3143;Popáleniny postihujúce 40 – 49 % povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3144;Popáleniny postihujúce 40 – 49 % povrchu tela: 40 – 49 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3150;Popáleniny postihujúce 50 – 59 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3151;Popáleniny postihujúce 50 – 59 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3152;Popáleniny postihujúce 50 – 59 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3153;Popáleniny postihujúce 50 – 59 % povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3154;Popáleniny postihujúce 50 – 59 % povrchu tela: 40 – 49 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3155;Popáleniny postihujúce 50 – 59 % povrchu tela: 50 – 59 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3160;Popáleniny postihujúce 60 – 69 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3161;Popáleniny postihujúce 60 – 69 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3162;Popáleniny postihujúce 60 – 69 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3163;Popáleniny postihujúce 60 – 69 % povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3164;Popáleniny postihujúce 60 – 69 % povrchu tela: 40 – 49 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3165;Popáleniny postihujúce 60 – 69 % povrchu tela: 50 – 59 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3166;Popáleniny postihujúce 60 – 69 % povrchu tela: 60 – 69 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3170;Popáleniny postihujúce 70 – 79 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3171;Popáleniny postihujúce 70 – 79 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3172;Popáleniny postihujúce 70 – 79 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3173;Popáleniny postihujúce 70 – 79 % povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3174;Popáleniny postihujúce 70 – 79 % povrchu tela: 40 – 49 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3175;Popáleniny postihujúce 70 – 79 % povrchu tela: 50 – 59 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3176;Popáleniny postihujúce 70 – 79 % povrchu tela: 60 – 69 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3177;Popáleniny postihujúce 70 – 79 % povrchu tela: 70 – 79 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3180;Popáleniny postihujúce 80 – 89 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3181;Popáleniny postihujúce 80 – 89 % povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3182;Popáleniny postihujúce 80 – 89 % povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3183;Popáleniny postihujúce 80 – 89 % povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3184;Popáleniny postihujúce 80 – 89 % povrchu tela: 40 – 49 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3185;Popáleniny postihujúce 80 – 89 % povrchu tela: 50 – 59 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3186;Popáleniny postihujúce 80 – 89 % povrchu tela: 60 – 69 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3187;Popáleniny postihujúce 80 – 89 % povrchu tela: 70 – 79 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3188;Popáleniny postihujúce 80 – 89 % povrchu tela: 80 – 89 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3190;Popáleniny postihujúce 90 % a viac povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel popáleniny 3. stupňa
Trauma a poúrazové stavy;t3191;Popáleniny postihujúce 90 % a viac povrchu tela: 10 – 19 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3192;Popáleniny postihujúce 90 % a viac povrchu tela: 20 – 29 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3193;Popáleniny postihujúce 90 % a viac povrchu tela: 30 – 39 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3194;Popáleniny postihujúce 90 % a viac povrchu tela: 40 – 49 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3195;Popáleniny postihujúce 90 % a viac povrchu tela: 50 – 59 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3196;Popáleniny postihujúce 90 % a viac povrchu tela: 60 – 69 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3197;Popáleniny postihujúce 90 % a viac povrchu tela: 70 – 79 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3198;Popáleniny postihujúce 90 % a viac povrchu tela: 80 – 89 % popáleniny 3. stupňa
Trauma a poúrazové stavy;t3199;Popáleniny postihujúce 90 % a viac povrchu tela: 90 % alebo viac popáleniny 3. stupňa
Trauma a poúrazové stavy;t3200;Poleptania postihujúce menej ako 10 % povrchu tela: menej ako 10 %, alebo bližšie neurčený podiel poleptania 3. stupňa
